id,family_name,given_name,birthdate,gender,phone,registration_date,area_id,area_id/id,bank_ids,bank_ids/id,bank_ids/acc_number,bank_ids/bank_id/name,bank_ids/bank_id/id,reg_ids/id,reg_ids/value,reg_ids/id_type/name,reg_ids/id_type/id,z_cst_indv_disability_level,z_cst_indv_cyclone_aug_2022_injured,z_cst_indv_cyclone_aug_2022_lost_primary_source_income,z_cst_indv_cyclone_aug_2022_lost_livestock,z_cst_indv_receive_government_benefits,individual_membership_ids/id,individual_membership_ids/kind/id,individual_membership_ids/kind/name,individual_membership_ids/group/id
__export__.res_partner_732_601d768f,Hastuti,Ade,2022-08-01,Female,+62-12-571-0072,2022-09-08,,,229899429 - slcb,__export__.res_partner_bank_575_4b02a53a,229899429,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_538_0ecefdc3,,,__export__.res_partner_729_acefda2a
__export__.res_partner_495_aa256ba5,Nashiruddin,Ade,1965-12-19,Female,(058) 501 2635,2022-09-04,,,421495927 - slcb,__export__.res_partner_bank_380_ceb2425b,421495927,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_351_ef5cb207,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_494_e9bebe57
__export__.res_partner_506_5f9262dd,Pratiwi,Ade,2008-06-18,Female,,2022-09-07,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_360_5ce2acc9,,,__export__.res_partner_502_ee329fa5
__export__.res_partner_395_a9af5740,Najmudin,Adiarja,2022-03-22,Male,089 412 4252,2022-08-23,,,674602781 - slcb,__export__.res_partner_bank_294_e1b5a94c,674602781,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_273_2f98c5e2,,,__export__.res_partner_388_5f8dffcc
__export__.res_partner_669_98f7092e,Mandala,Adika,2014-04-07,Male,,2022-08-25,,,,,,,,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_489_59f19b45,,,__export__.res_partner_667_76d17869
__export__.res_partner_532_e6053f37,Thamrin,Adinata,1949-02-16,Male,089 299 4671,2022-09-05,,,501641022 - slcb,__export__.res_partner_bank_412_166742a3,501641022,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_381_b1f90f0b,,,__export__.res_partner_528_6e1b18a6
__export__.res_partner_254_98f42ce8,Gunawan,Ajeng,1945-04-19,Female,(0598) 622-7278,2022-08-26,,,260421673 - slcb,__export__.res_partner_bank_176_c2f24750,260421673,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_161_63db4e21,,,__export__.res_partner_252_09706667
__export__.res_partner_82_a6f3b039,Halim,Ajimat,1949-04-26,Male,(057) 584-3323,2022-09-14,,,216143173 - slcb,__export__.res_partner_bank_32_24309b05,216143173,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_27_77d942c0,,,__export__.res_partner_79_6a99d0b7
__export__.res_partner_80_0d08e11c,Halim,Ajimin,1996-03-16,Male,0826281272,2022-09-14,,,110841754 - slcb,__export__.res_partner_bank_31_ec68f0c5,110841754,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_25_9e20a30a,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_79_6a99d0b7
__export__.res_partner_180_26e76d61,Saputra,Akarsana,1950-11-15,Male,(076) 056 3166,2022-08-31,,,259367794 - slcb,__export__.res_partner_bank_119_cb2233d7,259367794,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,TRUE,FALSE,__export__.g2p_group_membership_105_23631cbe,,,__export__.res_partner_178_faf4dbe6
__export__.res_partner_379_d984d61f,Pranowo,Alika,1954-06-24,Female,+62 (972) 037-8926,2022-09-01,,,555531266 - slcb,__export__.res_partner_bank_282_f02772f6,555531266,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_259_b3d7e8fd,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_378_98f06f16
__export__.res_partner_746_b94a083c,Prayoga,Alika,1980-07-20,Female,(0543) 061-3525,2022-08-30,,,932589400 - slcb,__export__.res_partner_bank_587_3605ea4a,932589400,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_548_fd5c89e6,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_745_f1e23be6
__export__.res_partner_207_19d0987e,Widiastuti,Alika,2021-12-18,Female,,2022-09-14,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_124_ee21df91,,,__export__.res_partner_205_785ef909
__export__.res_partner_91_e239c398,Yuliarti,Almira,1964-01-26,Other,+62 (0871) 361 8823,2022-08-23,,,380959180 - slcb,__export__.res_partner_bank_41_f0b79ff7,380959180,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_34_24342bd4,g2p_registry_membership.group_membership_kind_principal,,__export__.res_partner_88_d010832c
__export__.res_partner_484_b204ae31,Aryani,Amalia,2018-10-29,Female,,2022-09-08,,,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_342_717c2f43,,,__export__.res_partner_482_f9ec834a
__export__.res_partner_337_6111db64,Mandasari,Amalia,1925-08-23,Female,(059) 793-4613,2022-08-21,,,217187089 - slcb,__export__.res_partner_bank_245_02db91c5,217187089,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,TRUE,FALSE,__export__.g2p_group_membership_226_ecc99d7f,,,__export__.res_partner_333_d2cb3975
__export__.res_partner_409_4c4e4b6c,Jailani,Amelia,2021-10-20,Female,+62-61-154-6954,2022-08-28,,,985898760 - slcb,__export__.res_partner_bank_305_111cdb3d,985898760,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,TRUE,FALSE,FALSE,__export__.g2p_group_membership_283_4ab246e6,,,__export__.res_partner_407_429041e9
__export__.res_partner_673_3cf85028,Mandala,Ana,2006-04-23,Female,,2022-08-25,,,,,,,,,,,,0,FALSE,FALSE,FALSE,TRUE,__export__.g2p_group_membership_493_f3910006,,,__export__.res_partner_667_76d17869
__export__.res_partner_704_a94127b0,Situmorang,Ana,2000-02-04,Female,+62-23-452-3214,2022-09-01,,,293241099 - slcb,__export__.res_partner_bank_550_7812e9ce,293241099,slcb,__export__.res_bank_5_097dd3b8,,,,,0,FALSE,FALSE,FALSE,FALSE,__export__.g2p_group_membership_516_f8ac99e2,g2p_registry_membership.group_membership_kind_head,,__export__.res_partner_703_ed4b0975
